Code,Libellé,trimestre,chomage
0,FRANCE METROPOLITAINE,2017,9.1
0,FRANCE METROPOLITAINE,2018,8.7
0,FRANCE METROPOLITAINE,2019,8.15
0,FRANCE METROPOLITAINE,2020,7.85
0,FRANCE METROPOLITAINE,2021,7.65
1,GUADELOUPE,2017,22.35
1,GUADELOUPE,2018,22.625
1,GUADELOUPE,2019,20.675
1,GUADELOUPE,2020,17.375
1,GUADELOUPE,2021,17.175
2,MARTINIQUE,2017,17.9
2,MARTINIQUE,2018,17.325000000000003
2,MARTINIQUE,2019,14.925
2,MARTINIQUE,2020,12.4
2,MARTINIQUE,2021,12.925
3,GUYANE,2017,21.85
3,GUYANE,2018,18.975
3,GUYANE,2019,19.35
3,GUYANE,2020,16.075
3,GUYANE,2021,14.275
4,LA REUNION,2017,22.625
4,LA REUNION,2018,23.975
4,LA REUNION,2019,21.225
4,LA REUNION,2020,17.25
4,LA REUNION,2021,17.95
11,ILE-DE-FRANCE,2017,8.15
11,ILE-DE-FRANCE,2018,7.9
11,ILE-DE-FRANCE,2019,7.4
11,ILE-DE-FRANCE,2020,7.325
11,ILE-DE-FRANCE,2021,7.5
24,CENTRE-VAL DE LOIRE,2017,8.85
24,CENTRE-VAL DE LOIRE,2018,8.5
24,CENTRE-VAL DE LOIRE,2019,8.05
24,CENTRE-VAL DE LOIRE,2020,7.3999999999999995
24,CENTRE-VAL DE LOIRE,2021,7.125
27,BOURGOGNE-FRANCHE-COMTE,2017,8.2
27,BOURGOGNE-FRANCHE-COMTE,2018,7.725
27,BOURGOGNE-FRANCHE-COMTE,2019,7.4
27,BOURGOGNE-FRANCHE-COMTE,2020,6.975
27,BOURGOGNE-FRANCHE-COMTE,2021,6.675
28,NORMANDIE,2017,9.325
28,NORMANDIE,2018,8.9
28,NORMANDIE,2019,8.225
28,NORMANDIE,2020,7.925
28,NORMANDIE,2021,7.5249999999999995
32,HAUTS-DE-FRANCE,2017,11.65
32,HAUTS-DE-FRANCE,2018,11.225
32,HAUTS-DE-FRANCE,2019,10.4
32,HAUTS-DE-FRANCE,2020,9.65
32,HAUTS-DE-FRANCE,2021,9.35
44,GRAND-EST,2017,9.225
44,GRAND-EST,2018,8.6
44,GRAND-EST,2019,8.125
44,GRAND-EST,2020,7.8
44,GRAND-EST,2021,7.675
52,PAYS DE LA LOIRE,2017,7.800000000000001
52,PAYS DE LA LOIRE,2018,7.4
52,PAYS DE LA LOIRE,2019,7.05
52,PAYS DE LA LOIRE,2020,7.025
52,PAYS DE LA LOIRE,2021,6.525
53,BRETAGNE,2017,7.9
53,BRETAGNE,2018,7.525
53,BRETAGNE,2019,7.025
53,BRETAGNE,2020,6.8
53,BRETAGNE,2021,6.375
75,NOUVELLE-AQUITAINE,2017,8.775
75,NOUVELLE-AQUITAINE,2018,8.325
75,NOUVELLE-AQUITAINE,2019,7.775
75,NOUVELLE-AQUITAINE,2020,7.4
75,NOUVELLE-AQUITAINE,2021,7.075
76,OCCITANIE,2017,10.925
76,OCCITANIE,2018,10.475
76,OCCITANIE,2019,9.9
76,OCCITANIE,2020,9.35
76,OCCITANIE,2021,9.275
84,AUVERGNE-RHONE-ALPES,2017,8.1
84,AUVERGNE-RHONE-ALPES,2018,7.725
84,AUVERGNE-RHONE-ALPES,2019,7.3
84,AUVERGNE-RHONE-ALPES,2020,7.075
84,AUVERGNE-RHONE-ALPES,2021,6.95
93,PROVENCE-ALPES-COTE D'AZUR,2017,10.700000000000001
93,PROVENCE-ALPES-COTE D'AZUR,2018,10.325
93,PROVENCE-ALPES-COTE D'AZUR,2019,9.6
93,PROVENCE-ALPES-COTE D'AZUR,2020,9.125
93,PROVENCE-ALPES-COTE D'AZUR,2021,8.875
94,CORSE,2017,9.4
94,CORSE,2018,8.825
94,CORSE,2019,8.05
94,CORSE,2020,7.825
94,CORSE,2021,6.75
99,FRANCE (HORS MAYOTTE),2017,9.4
99,FRANCE (HORS MAYOTTE),2018,9.05
99,FRANCE (HORS MAYOTTE),2019,8.45
99,FRANCE (HORS MAYOTTE),2020,8.025
99,FRANCE (HORS MAYOTTE),2021,7.875
