Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,012017,01,971,279
Activites de services administratifs et de soutien,012017,02,972,638
Activites de services administratifs et de soutien,012017,03,973,31
Activites de services administratifs et de soutien,012017,04,974,133
Activites de services administratifs et de soutien,012017,06,976,11
Activites de services administratifs et de soutien,012017,11,075,684
Activites de services administratifs et de soutien,012017,11,077,200
Activites de services administratifs et de soutien,012017,11,078,202
Activites de services administratifs et de soutien,012017,11,091,165
Activites de services administratifs et de soutien,012017,11,092,256
Activites de services administratifs et de soutien,012017,11,093,308
Activites de services administratifs et de soutien,012017,11,094,206
Activites de services administratifs et de soutien,012017,11,095,156
Activites de services administratifs et de soutien,012017,24,018,38
Activites de services administratifs et de soutien,012017,24,028,81
Activites de services administratifs et de soutien,012017,24,036,32
Activites de services administratifs et de soutien,012017,24,037,63
Activites de services administratifs et de soutien,012017,24,041,45
Activites de services administratifs et de soutien,012017,24,045,85
Activites de services administratifs et de soutien,012017,27,021,72
Activites de services administratifs et de soutien,012017,27,025,53
Activites de services administratifs et de soutien,012017,27,039,57
Activites de services administratifs et de soutien,012017,27,058,23
Activites de services administratifs et de soutien,012017,27,070,66
Activites de services administratifs et de soutien,012017,27,071,67
Activites de services administratifs et de soutien,012017,27,089,49
Activites de services administratifs et de soutien,012017,27,090,16
Activites de services administratifs et de soutien,012017,28,014,66
Activites de services administratifs et de soutien,012017,28,027,57
Activites de services administratifs et de soutien,012017,28,050,69
Activites de services administratifs et de soutien,012017,28,061,49
Activites de services administratifs et de soutien,012017,28,076,109
Activites de services administratifs et de soutien,012017,32,002,62
Activites de services administratifs et de soutien,012017,32,059,195
Activites de services administratifs et de soutien,012017,32,060,121
Activites de services administratifs et de soutien,012017,32,062,141
Activites de services administratifs et de soutien,012017,32,080,65
Activites de services administratifs et de soutien,012017,44,008,36
Activites de services administratifs et de soutien,012017,44,010,22
Activites de services administratifs et de soutien,012017,44,051,74
Activites de services administratifs et de soutien,012017,44,052,20
Activites de services administratifs et de soutien,012017,44,054,61
Activites de services administratifs et de soutien,012017,44,055,13
Activites de services administratifs et de soutien,012017,44,057,107
Activites de services administratifs et de soutien,012017,44,067,116
Activites de services administratifs et de soutien,012017,44,068,66
Activites de services administratifs et de soutien,012017,44,088,48
Activites de services administratifs et de soutien,012017,52,044,139
Activites de services administratifs et de soutien,012017,52,049,62
Activites de services administratifs et de soutien,012017,52,053,25
Activites de services administratifs et de soutien,012017,52,072,45
Activites de services administratifs et de soutien,012017,52,085,106
Activites de services administratifs et de soutien,012017,53,022,61
Activites de services administratifs et de soutien,012017,53,029,80
Activites de services administratifs et de soutien,012017,53,035,106
Activites de services administratifs et de soutien,012017,53,056,100
Activites de services administratifs et de soutien,012017,75,016,65
Activites de services administratifs et de soutien,012017,75,017,105
Activites de services administratifs et de soutien,012017,75,019,34
Activites de services administratifs et de soutien,012017,75,023,22
Activites de services administratifs et de soutien,012017,75,024,84
Activites de services administratifs et de soutien,012017,75,033,294
Activites de services administratifs et de soutien,012017,75,040,99
Activites de services administratifs et de soutien,012017,75,047,43
Activites de services administratifs et de soutien,012017,75,064,70
Activites de services administratifs et de soutien,012017,75,079,42
Activites de services administratifs et de soutien,012017,75,086,49
Activites de services administratifs et de soutien,012017,75,087,38
Activites de services administratifs et de soutien,012017,76,009,56
Activites de services administratifs et de soutien,012017,76,011,107
Activites de services administratifs et de soutien,012017,76,012,24
Activites de services administratifs et de soutien,012017,76,030,166
Activites de services administratifs et de soutien,012017,76,031,255
Activites de services administratifs et de soutien,012017,76,032,77
Activites de services administratifs et de soutien,012017,76,034,204
Activites de services administratifs et de soutien,012017,76,046,21
Activites de services administratifs et de soutien,012017,76,048,5
Activites de services administratifs et de soutien,012017,76,065,46
Activites de services administratifs et de soutien,012017,76,066,79
Activites de services administratifs et de soutien,012017,76,081,56
Activites de services administratifs et de soutien,012017,76,082,53
Activites de services administratifs et de soutien,012017,84,001,73
Activites de services administratifs et de soutien,012017,84,003,51
Activites de services administratifs et de soutien,012017,84,007,66
Activites de services administratifs et de soutien,012017,84,015,41
Activites de services administratifs et de soutien,012017,84,026,56
Activites de services administratifs et de soutien,012017,84,038,201
Activites de services administratifs et de soutien,012017,84,042,86
Activites de services administratifs et de soutien,012017,84,043,31
Activites de services administratifs et de soutien,012017,84,063,66
Activites de services administratifs et de soutien,012017,84,069,292
Activites de services administratifs et de soutien,012017,84,073,87
Activites de services administratifs et de soutien,012017,84,074,114
Activites de services administratifs et de soutien,012017,93,004,50
Activites de services administratifs et de soutien,012017,93,005,32
Activites de services administratifs et de soutien,012017,93,006,330
Activites de services administratifs et de soutien,012017,93,013,316
Activites de services administratifs et de soutien,012017,93,083,206
Activites de services administratifs et de soutien,012017,93,084,97
Activites de services administratifs et de soutien,012017,94,2A,41
Activites de services administratifs et de soutien,012017,94,2B,29
Activites de services administratifs et de soutien,012018,01,971,322
Activites de services administratifs et de soutien,012018,02,972,711
Activites de services administratifs et de soutien,012018,03,973,31
Activites de services administratifs et de soutien,012018,04,974,236
Activites de services administratifs et de soutien,012018,06,976,7
Activites de services administratifs et de soutien,012018,11,075,893
Activites de services administratifs et de soutien,012018,11,077,247
Activites de services administratifs et de soutien,012018,11,078,222
Activites de services administratifs et de soutien,012018,11,091,190
Activites de services administratifs et de soutien,012018,11,092,296
Activites de services administratifs et de soutien,012018,11,093,366
Activites de services administratifs et de soutien,012018,11,094,228
Activites de services administratifs et de soutien,012018,11,095,181
Activites de services administratifs et de soutien,012018,24,018,46
Activites de services administratifs et de soutien,012018,24,028,103
Activites de services administratifs et de soutien,012018,24,036,40
Activites de services administratifs et de soutien,012018,24,037,64
Activites de services administratifs et de soutien,012018,24,041,51
Activites de services administratifs et de soutien,012018,24,045,96
Activites de services administratifs et de soutien,012018,27,021,83
Activites de services administratifs et de soutien,012018,27,025,60
