Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,12017,1,971,279
Activites de services administratifs et de soutien,12017,2,972,638
Activites de services administratifs et de soutien,12017,3,973,31
Activites de services administratifs et de soutien,12017,4,974,133
Activites de services administratifs et de soutien,12017,6,976,11
Activites de services administratifs et de soutien,12017,11,75,684
Activites de services administratifs et de soutien,12017,11,77,200
Activites de services administratifs et de soutien,12017,11,78,202
Activites de services administratifs et de soutien,12017,11,91,165
Activites de services administratifs et de soutien,12017,11,92,256
Activites de services administratifs et de soutien,12017,11,93,308
Activites de services administratifs et de soutien,12017,11,94,206
Activites de services administratifs et de soutien,12017,11,95,156
Activites de services administratifs et de soutien,12017,24,18,38
Activites de services administratifs et de soutien,12017,24,28,81
Activites de services administratifs et de soutien,12017,24,36,32
Activites de services administratifs et de soutien,12017,24,37,63
Activites de services administratifs et de soutien,12017,24,41,45
Activites de services administratifs et de soutien,12017,24,45,85
Activites de services administratifs et de soutien,12017,27,21,72
Activites de services administratifs et de soutien,12017,27,25,53
Activites de services administratifs et de soutien,12017,27,39,57
Activites de services administratifs et de soutien,12017,27,58,23
Activites de services administratifs et de soutien,12017,27,70,66
Activites de services administratifs et de soutien,12017,27,71,67
Activites de services administratifs et de soutien,12017,27,89,49
Activites de services administratifs et de soutien,12017,27,90,16
Activites de services administratifs et de soutien,12017,28,14,66
Activites de services administratifs et de soutien,12017,28,27,57
Activites de services administratifs et de soutien,12017,28,50,69
Activites de services administratifs et de soutien,12017,28,61,49
Activites de services administratifs et de soutien,12017,28,76,109
Activites de services administratifs et de soutien,12017,32,2,62
Activites de services administratifs et de soutien,12017,32,59,195
Activites de services administratifs et de soutien,12017,32,60,121
Activites de services administratifs et de soutien,12017,32,62,141
Activites de services administratifs et de soutien,12017,32,80,65
Activites de services administratifs et de soutien,12017,44,8,36
Activites de services administratifs et de soutien,12017,44,10,22
Activites de services administratifs et de soutien,12017,44,51,74
Activites de services administratifs et de soutien,12017,44,52,20
Activites de services administratifs et de soutien,12017,44,54,61
Activites de services administratifs et de soutien,12017,44,55,13
Activites de services administratifs et de soutien,12017,44,57,107
Activites de services administratifs et de soutien,12017,44,67,116
Activites de services administratifs et de soutien,12017,44,68,66
Activites de services administratifs et de soutien,12017,44,88,48
Activites de services administratifs et de soutien,12017,52,44,139
Activites de services administratifs et de soutien,12017,52,49,62
Activites de services administratifs et de soutien,12017,52,53,25
Activites de services administratifs et de soutien,12017,52,72,45
Activites de services administratifs et de soutien,12017,52,85,106
Activites de services administratifs et de soutien,12017,53,22,61
Activites de services administratifs et de soutien,12017,53,29,80
Activites de services administratifs et de soutien,12017,53,35,106
Activites de services administratifs et de soutien,12017,53,56,100
Activites de services administratifs et de soutien,12017,75,16,65
Activites de services administratifs et de soutien,12017,75,17,105
Activites de services administratifs et de soutien,12017,75,19,34
Activites de services administratifs et de soutien,12017,75,23,22
Activites de services administratifs et de soutien,12017,75,24,84
Activites de services administratifs et de soutien,12017,75,33,294
Activites de services administratifs et de soutien,12017,75,40,99
Activites de services administratifs et de soutien,12017,75,47,43
Activites de services administratifs et de soutien,12017,75,64,70
Activites de services administratifs et de soutien,12017,75,79,42
Activites de services administratifs et de soutien,12017,75,86,49
Activites de services administratifs et de soutien,12017,75,87,38
Activites de services administratifs et de soutien,12017,76,9,56
Activites de services administratifs et de soutien,12017,76,11,107
Activites de services administratifs et de soutien,12017,76,12,24
Activites de services administratifs et de soutien,12017,76,30,166
Activites de services administratifs et de soutien,12017,76,31,255
Activites de services administratifs et de soutien,12017,76,32,77
Activites de services administratifs et de soutien,12017,76,34,204
Activites de services administratifs et de soutien,12017,76,46,21
Activites de services administratifs et de soutien,12017,76,48,5
Activites de services administratifs et de soutien,12017,76,65,46
Activites de services administratifs et de soutien,12017,76,66,79
Activites de services administratifs et de soutien,12017,76,81,56
Activites de services administratifs et de soutien,12017,76,82,53
Activites de services administratifs et de soutien,12017,84,1,73
Activites de services administratifs et de soutien,12017,84,3,51
Activites de services administratifs et de soutien,12017,84,7,66
Activites de services administratifs et de soutien,12017,84,15,41
Activites de services administratifs et de soutien,12017,84,26,56
Activites de services administratifs et de soutien,12017,84,38,201
Activites de services administratifs et de soutien,12017,84,42,86
Activites de services administratifs et de soutien,12017,84,43,31
Activites de services administratifs et de soutien,12017,84,63,66
Activites de services administratifs et de soutien,12017,84,69,292
Activites de services administratifs et de soutien,12017,84,73,87
Activites de services administratifs et de soutien,12017,84,74,114
Activites de services administratifs et de soutien,12017,93,4,50
Activites de services administratifs et de soutien,12017,93,5,32
Activites de services administratifs et de soutien,12017,93,6,330
Activites de services administratifs et de soutien,12017,93,13,316
Activites de services administratifs et de soutien,12017,93,83,206
Activites de services administratifs et de soutien,12017,93,84,97
Activites de services administratifs et de soutien,12017,94,2A,41
Activites de services administratifs et de soutien,12017,94,2B,29
Activites de services administratifs et de soutien,12018,1,971,322
Activites de services administratifs et de soutien,12018,2,972,711
Activites de services administratifs et de soutien,12018,3,973,31
Activites de services administratifs et de soutien,12018,4,974,236
Activites de services administratifs et de soutien,12018,6,976,7
Activites de services administratifs et de soutien,12018,11,75,893
Activites de services administratifs et de soutien,12018,11,77,247
Activites de services administratifs et de soutien,12018,11,78,222
Activites de services administratifs et de soutien,12018,11,91,190
Activites de services administratifs et de soutien,12018,11,92,296
Activites de services administratifs et de soutien,12018,11,93,366
Activites de services administratifs et de soutien,12018,11,94,228
Activites de services administratifs et de soutien,12018,11,95,181
Activites de services administratifs et de soutien,12018,24,18,46
