Secteur,trimestre,code_region,code_dep,nombre_creation,Quartile_MOY,Quartile_CV
Activites de services administratifs et de soutien,2017,1,971,279,3,4
Activites de services administratifs et de soutien,2017,2,972,638,3,4
Activites de services administratifs et de soutien,2017,3,973,31,3,4
Activites de services administratifs et de soutien,2017,4,974,133,3,4
Activites de services administratifs et de soutien,2017,6,976,11,3,4
Activites de services administratifs et de soutien,2017,11,75,684,3,4
Activites de services administratifs et de soutien,2017,11,77,200,3,4
Activites de services administratifs et de soutien,2017,11,78,202,3,4
Activites de services administratifs et de soutien,2017,11,91,165,3,4
Activites de services administratifs et de soutien,2017,11,92,256,3,4
Activites de services administratifs et de soutien,2017,11,93,308,3,4
Activites de services administratifs et de soutien,2017,11,94,206,3,4
Activites de services administratifs et de soutien,2017,11,95,156,3,4
Activites de services administratifs et de soutien,2017,24,18,38,3,4
Activites de services administratifs et de soutien,2017,24,28,81,3,4
Activites de services administratifs et de soutien,2017,24,36,32,3,4
Activites de services administratifs et de soutien,2017,24,37,63,3,4
Activites de services administratifs et de soutien,2017,24,41,45,3,4
Activites de services administratifs et de soutien,2017,24,45,85,3,4
Activites de services administratifs et de soutien,2017,27,21,72,3,4
Activites de services administratifs et de soutien,2017,27,25,53,3,4
Activites de services administratifs et de soutien,2017,27,39,57,3,4
Activites de services administratifs et de soutien,2017,27,58,23,3,4
Activites de services administratifs et de soutien,2017,27,70,66,3,4
Activites de services administratifs et de soutien,2017,27,71,67,3,4
Activites de services administratifs et de soutien,2017,27,89,49,3,4
Activites de services administratifs et de soutien,2017,27,90,16,3,4
Activites de services administratifs et de soutien,2017,28,14,66,3,4
Activites de services administratifs et de soutien,2017,28,27,57,3,4
Activites de services administratifs et de soutien,2017,28,50,69,3,4
Activites de services administratifs et de soutien,2017,28,61,49,3,4
Activites de services administratifs et de soutien,2017,28,76,109,3,4
Activites de services administratifs et de soutien,2017,32,2,62,3,4
Activites de services administratifs et de soutien,2017,32,59,195,3,4
Activites de services administratifs et de soutien,2017,32,60,121,3,4
Activites de services administratifs et de soutien,2017,32,62,141,3,4
Activites de services administratifs et de soutien,2017,32,80,65,3,4
Activites de services administratifs et de soutien,2017,44,8,36,3,4
Activites de services administratifs et de soutien,2017,44,10,22,3,4
Activites de services administratifs et de soutien,2017,44,51,74,3,4
Activites de services administratifs et de soutien,2017,44,52,20,3,4
Activites de services administratifs et de soutien,2017,44,54,61,3,4
Activites de services administratifs et de soutien,2017,44,55,13,3,4
Activites de services administratifs et de soutien,2017,44,57,107,3,4
Activites de services administratifs et de soutien,2017,44,67,116,3,4
Activites de services administratifs et de soutien,2017,44,68,66,3,4
Activites de services administratifs et de soutien,2017,44,88,48,3,4
Activites de services administratifs et de soutien,2017,52,44,139,3,4
Activites de services administratifs et de soutien,2017,52,49,62,3,4
Activites de services administratifs et de soutien,2017,52,53,25,3,4
Activites de services administratifs et de soutien,2017,52,72,45,3,4
Activites de services administratifs et de soutien,2017,52,85,106,3,4
Activites de services administratifs et de soutien,2017,53,22,61,3,4
Activites de services administratifs et de soutien,2017,53,29,80,3,4
Activites de services administratifs et de soutien,2017,53,35,106,3,4
Activites de services administratifs et de soutien,2017,53,56,100,3,4
Activites de services administratifs et de soutien,2017,75,16,65,3,4
Activites de services administratifs et de soutien,2017,75,17,105,3,4
Activites de services administratifs et de soutien,2017,75,19,34,3,4
Activites de services administratifs et de soutien,2017,75,23,22,3,4
Activites de services administratifs et de soutien,2017,75,24,84,3,4
Activites de services administratifs et de soutien,2017,75,33,294,3,4
Activites de services administratifs et de soutien,2017,75,40,99,3,4
Activites de services administratifs et de soutien,2017,75,47,43,3,4
Activites de services administratifs et de soutien,2017,75,64,70,3,4
Activites de services administratifs et de soutien,2017,75,79,42,3,4
Activites de services administratifs et de soutien,2017,75,86,49,3,4
Activites de services administratifs et de soutien,2017,75,87,38,3,4
Activites de services administratifs et de soutien,2017,76,9,56,3,4
Activites de services administratifs et de soutien,2017,76,11,107,3,4
Activites de services administratifs et de soutien,2017,76,12,24,3,4
Activites de services administratifs et de soutien,2017,76,30,166,3,4
Activites de services administratifs et de soutien,2017,76,31,255,3,4
Activites de services administratifs et de soutien,2017,76,32,77,3,4
Activites de services administratifs et de soutien,2017,76,34,204,3,4
Activites de services administratifs et de soutien,2017,76,46,21,3,4
Activites de services administratifs et de soutien,2017,76,48,5,3,4
Activites de services administratifs et de soutien,2017,76,65,46,3,4
Activites de services administratifs et de soutien,2017,76,66,79,3,4
Activites de services administratifs et de soutien,2017,76,81,56,3,4
Activites de services administratifs et de soutien,2017,76,82,53,3,4
Activites de services administratifs et de soutien,2017,84,1,73,3,4
Activites de services administratifs et de soutien,2017,84,3,51,3,4
Activites de services administratifs et de soutien,2017,84,7,66,3,4
Activites de services administratifs et de soutien,2017,84,15,41,3,4
Activites de services administratifs et de soutien,2017,84,26,56,3,4
Activites de services administratifs et de soutien,2017,84,38,201,3,4
Activites de services administratifs et de soutien,2017,84,42,86,3,4
Activites de services administratifs et de soutien,2017,84,43,31,3,4
Activites de services administratifs et de soutien,2017,84,63,66,3,4
Activites de services administratifs et de soutien,2017,84,69,292,3,4
Activites de services administratifs et de soutien,2017,84,73,87,3,4
Activites de services administratifs et de soutien,2017,84,74,114,3,4
Activites de services administratifs et de soutien,2017,93,4,50,3,4
Activites de services administratifs et de soutien,2017,93,5,32,3,4
Activites de services administratifs et de soutien,2017,93,6,330,3,4
Activites de services administratifs et de soutien,2017,93,13,316,3,4
Activites de services administratifs et de soutien,2017,93,83,206,3,4
Activites de services administratifs et de soutien,2017,93,84,97,3,4
Activites de services administratifs et de soutien,2017,94,2A,41,3,4
Activites de services administratifs et de soutien,2017,94,2B,29,3,4
Activites de services administratifs et de soutien,2018,1,971,322,3,4
Activites de services administratifs et de soutien,2018,2,972,711,3,4
Activites de services administratifs et de soutien,2018,3,973,31,3,4
Activites de services administratifs et de soutien,2018,4,974,236,3,4
Activites de services administratifs et de soutien,2018,6,976,7,3,4
Activites de services administratifs et de soutien,2018,11,75,893,3,4
Activites de services administratifs et de soutien,2018,11,77,247,3,4
Activites de services administratifs et de soutien,2018,11,78,222,3,4
Activites de services administratifs et de soutien,2018,11,91,190,3,4
Activites de services administratifs et de soutien,2018,11,92,296,3,4
Activites de services administratifs et de soutien,2018,11,93,366,3,4
Activites de services administratifs et de soutien,2018,11,94,228,3,4
Activites de services administratifs et de soutien,2018,11,95,181,3,4
Activites de services administratifs et de soutien,2018,24,18,46,3,4
Activites de services administratifs et de soutien,2018,24,28,103,3,4
Activites de services administratifs et de soutien,2018,24,36,40,3,4
Activites de services administratifs et de soutien,2018,24,37,64,3,4
Activites de services administratifs et de soutien,2018,24,41,51,3,4
Activites de services administratifs et de soutien,2018,24,45,96,3,4
Activites de services administratifs et de soutien,2018,27,21,83,3,4
Activites de services administratifs et de soutien,2018,27,25,60,3,4
Activites de services administratifs et de soutien,2018,27,39,64,3,4
Activites de services administratifs et de soutien,2018,27,58,40,3,4
Activites de services administratifs et de soutien,2018,27,70,73,3,4
Activites de services administratifs et de soutien,2018,27,71,91,3,4
Activites de services administratifs et de soutien,2018,27,89,44,3,4
Activites de services administratifs et de soutien,2018,27,90,12,3,4
Activites de services administratifs et de soutien,2018,28,14,93,3,4
Activites de services administratifs et de soutien,2018,28,27,85,3,4
Activites de services administratifs et de soutien,2018,28,50,84,3,4
Activites de services administratifs et de soutien,2018,28,61,47,3,4
Activites de services administratifs et de soutien,2018,28,76,125,3,4
Activites de services administratifs et de soutien,2018,32,2,79,3,4
Activites de services administratifs et de soutien,2018,32,59,237,3,4
Activites de services administratifs et de soutien,2018,32,60,145,3,4
Activites de services administratifs et de soutien,2018,32,62,170,3,4
Activites de services administratifs et de soutien,2018,32,80,70,3,4
Activites de services administratifs et de soutien,2018,44,8,37,3,4
Activites de services administratifs et de soutien,2018,44,10,39,3,4
Activites de services administratifs et de soutien,2018,44,51,106,3,4
Activites de services administratifs et de soutien,2018,44,52,19,3,4
Activites de services administratifs et de soutien,2018,44,54,80,3,4
Activites de services administratifs et de soutien,2018,44,55,14,3,4
Activites de services administratifs et de soutien,2018,44,57,97,3,4
Activites de services administratifs et de soutien,2018,44,67,138,3,4
Activites de services administratifs et de soutien,2018,44,68,86,3,4
Activites de services administratifs et de soutien,2018,44,88,67,3,4
Activites de services administratifs et de soutien,2018,44,88,2,3,4
Activites de services administratifs et de soutien,2018,52,44,155,3,4
Activites de services administratifs et de soutien,2018,52,49,91,3,4
Activites de services administratifs et de soutien,2018,52,53,49,3,4
Activites de services administratifs et de soutien,2018,52,72,63,3,4
Activites de services administratifs et de soutien,2018,52,85,92,3,4
Activites de services administratifs et de soutien,2018,52,44,1,3,4
Activites de services administratifs et de soutien,2018,53,22,62,3,4
Activites de services administratifs et de soutien,2018,53,29,71,3,4
Activites de services administratifs et de soutien,2018,53,35,140,3,4
Activites de services administratifs et de soutien,2018,53,56,105,3,4
Activites de services administratifs et de soutien,2018,75,16,80,3,4
Activites de services administratifs et de soutien,2018,75,17,137,3,4
Activites de services administratifs et de soutien,2018,75,19,43,3,4
Activites de services administratifs et de soutien,2018,75,23,24,3,4
Activites de services administratifs et de soutien,2018,75,24,86,3,4
Activites de services administratifs et de soutien,2018,75,33,356,3,4
Activites de services administratifs et de soutien,2018,75,40,92,3,4
Activites de services administratifs et de soutien,2018,75,47,46,3,4
Activites de services administratifs et de soutien,2018,75,64,112,3,4
Activites de services administratifs et de soutien,2018,75,79,47,3,4
Activites de services administratifs et de soutien,2018,75,86,66,3,4
Activites de services administratifs et de soutien,2018,75,87,44,3,4
Activites de services administratifs et de soutien,2018,75,33,1,3,4
Activites de services administratifs et de soutien,2018,76,9,138,3,4
Activites de services administratifs et de soutien,2018,76,11,114,3,4
Activites de services administratifs et de soutien,2018,76,12,41,3,4
Activites de services administratifs et de soutien,2018,76,30,201,3,4
Activites de services administratifs et de soutien,2018,76,31,271,3,4
Activites de services administratifs et de soutien,2018,76,32,80,3,4
Activites de services administratifs et de soutien,2018,76,34,206,3,4
Activites de services administratifs et de soutien,2018,76,46,40,3,4
Activites de services administratifs et de soutien,2018,76,48,4,3,4
Activites de services administratifs et de soutien,2018,76,65,63,3,4
Activites de services administratifs et de soutien,2018,76,66,100,3,4
Activites de services administratifs et de soutien,2018,76,81,66,3,4
Activites de services administratifs et de soutien,2018,76,82,73,3,4
Activites de services administratifs et de soutien,2018,84,1,91,3,4
Activites de services administratifs et de soutien,2018,84,3,69,3,4
Activites de services administratifs et de soutien,2018,84,7,64,3,4
Activites de services administratifs et de soutien,2018,84,15,43,3,4
Activites de services administratifs et de soutien,2018,84,26,74,3,4
Activites de services administratifs et de soutien,2018,84,38,228,3,4
Activites de services administratifs et de soutien,2018,84,42,118,3,4
Activites de services administratifs et de soutien,2018,84,43,34,3,4
Activites de services administratifs et de soutien,2018,84,63,71,3,4
Activites de services administratifs et de soutien,2018,84,69,379,3,4
Activites de services administratifs et de soutien,2018,84,73,108,3,4
Activites de services administratifs et de soutien,2018,84,74,135,3,4
Activites de services administratifs et de soutien,2018,93,4,49,3,4
Activites de services administratifs et de soutien,2018,93,5,37,3,4
Activites de services administratifs et de soutien,2018,93,6,344,3,4
Activites de services administratifs et de soutien,2018,93,13,397,3,4
