Secteur,trimestre,code_region,code_dep,nombre_defaut
Activites de services administratifs et de soutien,012017,01,971,4
Activites de services administratifs et de soutien,012017,02,972,8
Activites de services administratifs et de soutien,012017,03,973,1
Activites de services administratifs et de soutien,012017,04,974,8
Activites de services administratifs et de soutien,012017,11,075,30
Activites de services administratifs et de soutien,012017,11,077,20
Activites de services administratifs et de soutien,012017,11,078,15
Activites de services administratifs et de soutien,012017,11,091,22
Activites de services administratifs et de soutien,012017,11,092,14
Activites de services administratifs et de soutien,012017,11,093,46
Activites de services administratifs et de soutien,012017,11,094,23
Activites de services administratifs et de soutien,012017,11,095,13
Activites de services administratifs et de soutien,012017,24,018,2
Activites de services administratifs et de soutien,012017,24,028,5
Activites de services administratifs et de soutien,012017,24,037,3
Activites de services administratifs et de soutien,012017,24,041,4
Activites de services administratifs et de soutien,012017,24,045,5
Activites de services administratifs et de soutien,012017,27,021,1
Activites de services administratifs et de soutien,012017,27,025,4
Activites de services administratifs et de soutien,012017,27,058,2
Activites de services administratifs et de soutien,012017,27,070,3
Activites de services administratifs et de soutien,012017,27,071,3
Activites de services administratifs et de soutien,012017,27,089,2
Activites de services administratifs et de soutien,012017,27,090,1
Activites de services administratifs et de soutien,012017,28,014,3
Activites de services administratifs et de soutien,012017,28,027,3
Activites de services administratifs et de soutien,012017,28,050,2
Activites de services administratifs et de soutien,012017,28,061,2
Activites de services administratifs et de soutien,012017,28,076,11
Activites de services administratifs et de soutien,012017,32,002,2
Activites de services administratifs et de soutien,012017,32,059,22
Activites de services administratifs et de soutien,012017,32,060,5
Activites de services administratifs et de soutien,012017,32,062,11
Activites de services administratifs et de soutien,012017,32,080,6
Activites de services administratifs et de soutien,012017,44,051,2
Activites de services administratifs et de soutien,012017,44,052,3
Activites de services administratifs et de soutien,012017,44,054,6
Activites de services administratifs et de soutien,012017,44,055,2
Activites de services administratifs et de soutien,012017,44,057,12
Activites de services administratifs et de soutien,012017,44,067,8
Activites de services administratifs et de soutien,012017,44,068,9
Activites de services administratifs et de soutien,012017,44,088,2
Activites de services administratifs et de soutien,012017,52,044,13
Activites de services administratifs et de soutien,012017,52,049,2
Activites de services administratifs et de soutien,012017,52,053,1
Activites de services administratifs et de soutien,012017,52,072,1
Activites de services administratifs et de soutien,012017,52,085,5
Activites de services administratifs et de soutien,012017,53,022,2
Activites de services administratifs et de soutien,012017,53,029,4
Activites de services administratifs et de soutien,012017,53,035,12
Activites de services administratifs et de soutien,012017,53,056,4
Activites de services administratifs et de soutien,012017,75,016,3
Activites de services administratifs et de soutien,012017,75,017,8
Activites de services administratifs et de soutien,012017,75,024,3
Activites de services administratifs et de soutien,012017,75,033,20
Activites de services administratifs et de soutien,012017,75,040,8
Activites de services administratifs et de soutien,012017,75,047,2
Activites de services administratifs et de soutien,012017,75,064,7
Activites de services administratifs et de soutien,012017,75,086,1
Activites de services administratifs et de soutien,012017,75,087,4
Activites de services administratifs et de soutien,012017,76,009,1
Activites de services administratifs et de soutien,012017,76,011,3
Activites de services administratifs et de soutien,012017,76,012,1
Activites de services administratifs et de soutien,012017,76,030,7
Activites de services administratifs et de soutien,012017,76,031,25
Activites de services administratifs et de soutien,012017,76,032,2
Activites de services administratifs et de soutien,012017,76,034,11
Activites de services administratifs et de soutien,012017,76,065,5
Activites de services administratifs et de soutien,012017,76,066,6
Activites de services administratifs et de soutien,012017,76,081,5
Activites de services administratifs et de soutien,012017,76,082,2
Activites de services administratifs et de soutien,012017,84,001,5
Activites de services administratifs et de soutien,012017,84,003,2
Activites de services administratifs et de soutien,012017,84,007,1
Activites de services administratifs et de soutien,012017,84,026,7
Activites de services administratifs et de soutien,012017,84,038,18
Activites de services administratifs et de soutien,012017,84,042,10
Activites de services administratifs et de soutien,012017,84,043,3
Activites de services administratifs et de soutien,012017,84,063,5
Activites de services administratifs et de soutien,012017,84,069,36
Activites de services administratifs et de soutien,012017,84,073,7
Activites de services administratifs et de soutien,012017,84,074,3
Activites de services administratifs et de soutien,012017,93,006,19
Activites de services administratifs et de soutien,012017,93,013,22
Activites de services administratifs et de soutien,012017,93,083,14
Activites de services administratifs et de soutien,012017,93,084,12
Activites de services administratifs et de soutien,012017,94,2B,5
Activites de services administratifs et de soutien,012018,01,971,4
Activites de services administratifs et de soutien,012018,02,972,12
Activites de services administratifs et de soutien,012018,03,973,2
Activites de services administratifs et de soutien,012018,04,974,10
