Secteur,trimestre,code_region,code_dep,nombre_defaut
Activites financieres et d'assurance,2017,1,971,5
Activites financieres et d'assurance,2017,2,972,10
Activites financieres et d'assurance,2017,3,973,1
Activites financieres et d'assurance,2017,4,974,7
Activites financieres et d'assurance,2017,11,75,61
Activites financieres et d'assurance,2017,11,77,13
Activites financieres et d'assurance,2017,11,78,18
Activites financieres et d'assurance,2017,11,91,7
Activites financieres et d'assurance,2017,11,92,15
Activites financieres et d'assurance,2017,11,93,11
Activites financieres et d'assurance,2017,11,94,13
Activites financieres et d'assurance,2017,11,95,5
Activites financieres et d'assurance,2017,24,18,2
Activites financieres et d'assurance,2017,24,28,6
Activites financieres et d'assurance,2017,24,36,1
Activites financieres et d'assurance,2017,24,37,9
Activites financieres et d'assurance,2017,24,41,4
Activites financieres et d'assurance,2017,24,45,4
Activites financieres et d'assurance,2017,27,21,3
Activites financieres et d'assurance,2017,27,25,8
Activites financieres et d'assurance,2017,27,39,2
Activites financieres et d'assurance,2017,27,58,1
Activites financieres et d'assurance,2017,27,70,1
Activites financieres et d'assurance,2017,27,71,5
Activites financieres et d'assurance,2017,27,89,2
Activites financieres et d'assurance,2017,27,90,1
Activites financieres et d'assurance,2017,28,14,2
Activites financieres et d'assurance,2017,28,27,9
Activites financieres et d'assurance,2017,28,50,5
Activites financieres et d'assurance,2017,28,61,1
Activites financieres et d'assurance,2017,28,76,20
Activites financieres et d'assurance,2017,32,2,5
Activites financieres et d'assurance,2017,32,59,42
Activites financieres et d'assurance,2017,32,60,8
Activites financieres et d'assurance,2017,32,62,19
Activites financieres et d'assurance,2017,32,80,6
Activites financieres et d'assurance,2017,44,10,4
Activites financieres et d'assurance,2017,44,51,6
Activites financieres et d'assurance,2017,44,52,5
Activites financieres et d'assurance,2017,44,54,14
Activites financieres et d'assurance,2017,44,55,3
Activites financieres et d'assurance,2017,44,57,6
Activites financieres et d'assurance,2017,44,67,23
Activites financieres et d'assurance,2017,44,68,11
Activites financieres et d'assurance,2017,44,8,2
Activites financieres et d'assurance,2017,44,88,3
Activites financieres et d'assurance,2017,52,44,21
Activites financieres et d'assurance,2017,52,49,13
Activites financieres et d'assurance,2017,52,53,2
Activites financieres et d'assurance,2017,52,72,7
