Région,Année,PIB_VAL,PIB_VOL,PIB_HAB,PIB_EMP
Auvergne-Rhône-Alpes,2012,237 012,240 235,30 675,72 853
Bourgogne-Franche-Comté,2012,71 867,72 844,25 500,66 002
Bretagne,2012,85 516,86 679,26 329,65 448
Centre-Val de Loire,2012,68 600,69 533,26 723,68 480
Corse,2012,8 091,8 201,25 426,67 481
Grand Est,2012,147 185,149 187,26 517,68 997
Hauts-de-France,2012,150 903,152 956,25 233,69 243
Île-de-France,2012,630 605,639 181,52 862,104 096
Normandie,2012,90 193,91 420,27 121,70 083
Nouvelle-Aquitaine,2012,156 842,158 975,26 919,67 670
Occitanie,2012,149 874,151 912,26 501,68 658
Pays de la Loire,2012,102 211,103 601,28 028,67 460
Provence-Alpes-Côte d'Azur,2012,150 184,152 226,30 373,74 743
Guadeloupe,2012,8 224,8 296,20 421,64 404
Martinique,2012,8 247,8 415,21 314,62 566
Guyane,2012,3 783,3 912,15 638,71 685
Réunion ,2012,16 381,16 502,19 630,62 234
Mayotte,2012,1 583,1 604,8 137,42 398
Auvergne-Rhône-Alpes,2 013,239 911,241 298,30 800,72 885
Bourgogne-Franche-Comté,2 013,72 173,72 590,25 591,66 222
Bretagne,2 013,86 911,87 414,26 598,66 217
Centre-Val de Loire,2 013,69 089,69 488,26 841,68 964
Corse,2 013,8 217,8 265,25 503,67 386
Grand Est,2 013,148 870,149 731,26 806,69 910
Hauts-de-France,2 013,152 543,153 424,25 436,69 861
Île-de-France,2 013,644 681,648 408,53 752,105 323
Normandie,2 013,91 053,91 580,27 327,70 911
Nouvelle-Aquitaine,2 013,157 867,158 779,26 932,67 498
Occitanie,2 013,151 947,152 825,26 623,68 913
Pays de la Loire,2 013,103 930,104 531,28 274,68 209
Provence-Alpes-Côte d'Azur,2 013,149 879,150 745,30 165,73 860
Guadeloupe,2 013,8 246,8 271,20 557,64 224
Martinique,2 013,8 275,8 326,21 508,62 854
Guyane,2 013,3 856,3 998,15 534,70 820
Réunion ,2 013,16 528,16 502,19 701,60 818
Mayotte,2 013,1 702,1 712,8 137,42 398
Auvergne-Rhône-Alpes,2014,243 947,243 947,31 079,74 030
Bourgogne-Franche-Comté,2014,73 480,73 480,26 050,67 945
Bretagne,2014,88 974,88 974,27 083,67 639
Centre-Val de Loire,2014,69 472,69 472,26 948,69 709
Corse,2014,8 343,8 343,25 612,67 997
Grand Est,2014,150 491,150 491,27 082,71 058
Hauts-de-France,2014,153 926,153 926,25 620,70 636
Île-de-France,2014,653 969,653 969,54 249,106 604
Normandie,2014,91 301,91 301,27 357,71 284
Nouvelle-Aquitaine,2014,161 052,161 052,27 319,68 933
Occitanie,2014,155 597,155 597,27 049,70 332
Pays de la Loire,2014,105 995,105 995,28 611,69 495
Provence-Alpes-Côte d'Azur,2014,152 004,152 004,30 427,74 823
Guadeloupe,2014,8 416,8 416,21 088,65 833
Martinique,2014,8 506,8 506,22 244,64 420
Guyane,2014,3 964,3 964,15 480,71 411
Réunion ,2014,16 973,16 973,20 045,60 671
Mayotte,2014,1 855,1 855,8 137,42 886
Auvergne-Rhône-Alpes,2015,249 918,247 069,31 646,75 507
Bourgogne-Franche-Comté,2015,74 357,73 509,26 371,68 854
Bretagne,2015,91 304,90 263,27 666,68 916
Centre-Val de Loire,2015,70 730,69 923,27 433,70 987
Corse,2015,8 617,8 519,26 203,69 643
Grand Est,2015,152 176,150 441,27 384,72 072
Hauts-de-France,2015,157 450,155 655,26 205,72 068
Île-de-France,2015,670 619,662 974,55 425,108 771
Normandie,2015,93 077,92 016,27 888,72 895
Nouvelle-Aquitaine,2015,164 269,162 396,27 732,70 046
Occitanie,2015,159 522,157 703,27 545,71 512
Pays de la Loire,2015,108 949,107 707,29 224,70 797
Provence-Alpes-Côte d'Azur,2015,155 028,153 260,30 913,75 895
Guadeloupe,2015,8 574,8 515,21 648,66 340
Martinique,2015,8 673,8 573,22 902,64 801
Guyane,2015,3 993,3 998,15 091,70 830
Réunion ,2015,17 555,17 581,20 608,61 348
Mayotte,2015,2 079,2 056,8 789,46 382
Auvergne-Rhône-Alpes,2016,255 860,251 617,32 254,76 649
Bourgogne-Franche-Comté,2016,74 459,73 225,26 452,68 793
Bretagne,2016,93 369,91 821,28 185,69 875
Centre-Val de Loire,2016,71 052,69 874,27 571,71 027
Corse,2016,8 737,8 592,26 260,70 047
Grand Est,2016,152 816,150 282,27 523,72 142
Hauts-de-France,2016,158 177,155 554,26 339,71 984
Île-de-France,2016,685 853,674 480,56 467,110 493
Normandie,2016,92 698,91 161,27 810,72 503
Nouvelle-Aquitaine,2016,166 773,164 008,28 047,70 490
Occitanie,2016,162 872,160 171,27 952,72 003
Pays de la Loire,2016,110 979,109 139,29 613,71 076
Provence-Alpes-Côte d'Azur,2016,157 144,154 539,31 264,76 268
Guadeloupe,2016,8 712,8 634,22 215,67 957
Martinique,2016,8 650,8 446,23 096,65 242
Guyane,2016,4 131,4 118,15 356,73 975
Réunion ,2016,18 065,18 115,21 171,62 385
Mayotte,2016,2 208,2 172,8 992,47 578
Auvergne-Rhône-Alpes,2017,264 325,258 603,33 159,77 816
Bourgogne-Franche-Comté,2017,76 855,75 191,27 354,70 282
Bretagne,2017,96 798,94 703,29 093,71 319
Centre-Val de Loire,2017,72 752,71 178,28 258,72 327
Corse,2017,9 058,8 862,26 898,71 541
Grand Est,2017,157 278,153 874,28 338,73 455
Hauts-de-France,2017,163 237,159 703,27 188,73 816
Île-de-France,2017,705 343,690 076,57 843,112 133
Normandie,2017,93 425,91 402,28 064,72 625
Nouvelle-Aquitaine,2017,171 052,167 349,28 660,71 333
Occitanie,2017,166 916,163 303,28 458,72 722
Pays de la Loire,2017,114 320,111 846,30 328,71 677
Provence-Alpes-Côte d'Azur,2017,161 647,158 148,32 061,77 496
Guadeloupe,2017,8 803,8 697,22 634,69 521
Martinique,2017,8 786,8 528,23 703,66 849
Guyane,2017,4 127,3 976,15 151,73 044
Réunion ,2017,18 555,18 531,21 707,63 345
Mayotte,2017,2 420,2 368,9 494,48 399
Auvergne-Rhône-Alpes,2018,274 209,265 660,34 210,78 852
Bourgogne-Franche-Comté,2018,78 176,75 739,27 865,71 447
Bretagne,2018,98 576,95 503,29 481,71 411
Centre-Val de Loire,2018,74 142,71 830,28 827,73 451
Corse,2018,9 395,9 102,27 686,70 533
Grand Est,2018,161 067,156 046,29 016,75 107
Hauts-de-France,2018,166 234,161 052,27 696,74 163
Île-de-France,2018,729 516,706 772,59 635,112 547
Normandie,2018,94 734,91 780,28 492,72 161
Nouvelle-Aquitaine,2018,176 167,170 675,29 398,71 772
Occitanie,2018,172 554,167 174,29 212,73 212
Pays de la Loire,2018,117 497,113 834,30 982,71 914
Provence-Alpes-Côte d'Azur,2018,165 989,160 814,32 773,77 651
Guadeloupe,2018,9 025,8 846,23 386,66 638
Martinique,2018,8 896,8 531,24 264,65 208
Guyane,2018,4 353,3 916,15 607,63 013
Réunion ,2018,18 822,18 676,21 922,64 392
Mayotte,2018,2 451,2 375,9 262,50 337
Auvergne-Rhône-Alpes,2019,282 294,270 025,35 035,80 747
Bourgogne-Franche-Comté,2019,79 584,76 125,28 397,72 722
Bretagne,2019,102 061,97 626,30 348,73 051
Centre-Val de Loire,2019,75 834,72 538,29 473,74 787
Corse,2019,9 643,9 224,28 201,71 091
Grand Est,2019,163 887,156 765,29 491,76 260
Hauts-de-France,2019,169 966,162 579,28 333,75 218
Île-de-France,2019,759 520,726 511,61 940,116 245
Normandie,2019,96 762,92 556,29 111,73 313
Nouvelle-Aquitaine,2019,182 004,174 094,30 235,73 303
Occitanie,2019,177 666,169 944,29 854,74 488
Pays de la Loire,2019,121 984,116 683,31 952,73 801
Provence-Alpes-Côte d'Azur,2019,170 381,162 976,33 488,78 732
Guadeloupe,2019,9 268,8 890,24 142,67 036
Martinique,2019,8 873,8 467,24 452,63 753
Guyane,2019,4 431,3 925,15 633,62 552
Réunion ,2019,19 330,19 084,22 420,63 642
Mayotte,2019,2 604,2 491,9 481,48 429 
Auvergne-Rhône-Alpes,2020,270 450,251 639,33 418,75 823
Bourgogne-Franche-Comté,2020,76 922,71 571,27 498,69 714
Bretagne,2020,100 395,93 412,29 684,70 249
Centre-Val de Loire,2020,72 707,67 650,28 255,70 747
Corse,2020,9 084,8 452,26 339,65 250
Grand Est,2020,155 896,145 053,28 043,71 515
Hauts-de-France,2020,163 006,151 668,27 204,70 737
Île-de-France,2020,700 754,652 015,57 068,105 655
Normandie,2020,92 017,85 617,27 694,68 622
Nouvelle-Aquitaine,2020,174 700,162 549,28 900,68 655
Occitanie,2020,168 569,156 844,28 126,69 010
Pays de la Loire,2020,118 143,109 926,30 742,69 876
Provence-Alpes-Côte d'Azur,2020,162 753,151 433,31 867,73 276
Guadeloupe,2020,8 696,8 263,22 729,61 585
Martinique,2020,8 788,8 319,24 465,61 743
Guyane,2020,4 425,3 838,15 367,60 841
Réunion ,2020,18 973,18 292,21 937,59 889
Mayotte,2020,2 712,2 524,9 541,53 298 
Auvergne-Rhône-Alpes,2021,290 877,267 045,35 765,79 730
Bourgogne-Franche-Comté,2021,81 712,75 017,29 258,73 262
Bretagne,2021,108 252,99 383,31 820,74 282
Centre-Val de Loire,2021,78 343,71 925,30 440,75 134
Corse,2021,10 125,9 296,29 136,71 334
Grand Est,2021,166 919,153 243,30 023,75 375
Hauts-de-France,2021,174 336,160 052,29 115,74 344
Île-de-France,2021,764 844,702 180,62 105,113 245
Normandie,2021,99 315,91 179,29 897,72 887
Nouvelle-Aquitaine,2021,189 278,173 770,31 139,72 758
Occitanie,2021,181 274,166 422,30 232,73 108
Pays de la Loire,2021,127 189,116 769,32 838,73 659
Provence-Alpes-Côte d'Azur,2021,181 067,166 232,35 273,79 540
Guadeloupe,2021,8 912,8 417,23 449,62 385
Martinique,2021,9 082,8 533,25 604,62 927
Guyane,2021,4 580,3 971,15 611,61 921
Réunion ,2021,20 339,19 526,23 423,62 536
Mayotte,2021,2 932,2 693,9 978,55 415 
